Id,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population
1,USA,98166904,1084282,0,94962112,2120510,2970,293206,3239,1118158870,3339729,334805269
2,India,44587307,528629,0,44019095,39583,698,31698,376,894416853,635857,1406631776
3,France,35342950,155078,0,34527115,660757,869,538892,2365,271490188,4139547,65584518
4,Brazil,34706757,686027,0,33838636,182094,8318,161162,3186,63776166,296146,215353593
5,Germany,33312373,149948,0,32315200,847225,1406,397126,1788,122332384,1458359,83883596
6,S. Korea,24769101,28406,42,24013461,727234,352,482547,553,15804065,307892,51329899
7,UK,23621952,189919,0,23347871,84162,146,344857,2773,522526476,7628357,68497907
8,Italy,22432803,177054,0,21779604,476145,141,372250,2938,246636495,4092684,60262770
9,Japan,21229216,44678,0,20380089,804449,204,169043,356,76201407,606772,125584838
10,Russia,20948470,387163,0,19979763,581544,2300,143674,2655,273400000,1875095,145805947
11,Turkey,16873793,101139,0,16754301,18353,975,197211,1182,162743369,1902052,85561976
12,Spain,13412263,114084,0,13218892,79287,339,287083,2442,471036328,10082298,46719142
13,Vietnam,11477886,43148,0,10590917,843821,106,115993,436,85826548,867342,98953541
14,Australia,10209239,14984,0,10133494,60761,49,391627,575,78835048,3024116,26068792
15,Argentina,9708420,129897,0,9563348,15175,294,211006,2823,35716069,776264,46010234
16,Netherlands,8422336,22643,0,8362464,37229,35,489345,1316,21107399,1226358,17211447
17,Iran,7548320,144421,0,7325370,78529,157,87748,1679,54095556,628851,86022837
18,Mexico,7084488,330065,0,6353953,400470,4798,53849,2509,18393211,139806,131562772
19,Indonesia,6429767,158093,0,6253317,18357,2771,23035,566,108656989,389264,279134505
20,Taiwan,6417941,11003,0,5603195,803743,270,268661,461,25998416,1088319,23888595
21,Colombia,6307372,141794,0,6134690,30888,342,122443,2753,36572720,709974,51512762
22,Poland,6289672,117539,0,5335940,836193,3086,166659,3114,37335609,989290,37739785
23,Portugal,5490639,25024,0,5394788,70827,61,541453,2468,44988307,4436467,10140570
24,Ukraine,5177217,109206,0,4973554,94457,177,119865,2528,19521252,451963,43192122
25,Austria,5118512,20738,0,5006572,91202,47,564539,2287,197543761,21787811,9066710
26,Greece,4920192,33111,0,4836903,50178,115,476918,3209,94139966,9125063,10316637
27,Malaysia,4838872,36369,0,4777329,25174,43,145832,1096,64604259,1947021,33181072
28,DPRK,4772813,74,0,4772739,0,270,183636,3,31370107,2050888,25990679
29,Thailand,4681309,32767,9,4642083,6459,1496,66801,468,17270775,246450,70078203
30,Israel,4661096,11698,0,4641394,8004,101,499796,1254,41373364,4436346,9326000
31,Chile,4620377,61141,0,4540886,18350,124,240017,3176,45128974,2344339,19250195
32,Belgium,4533249,32659,0,4451569,49021,48,388511,2799,35555508,3047194,11668278
33,Canada,4233468,44992,0,4131367,57109,99,110280,1172,64928884,1691366,38388419
34,Peru,4143085,216539,0,3914598,11948,147,122998,6429,35126382,1042815,33684208
35,Czechia,4100480,41059,0,4035333,24088,39,381910,3824,56212735,5235528,10736784
36,Switzerland,4084307,14183,0,4012833,57291,54,465520,1617,22318542,2543819,8773637
37,South Africa,4018769,102185,0,3909265,7319,192,66146,1682,26174429,430811,60756135
38,Philippines,3945566,62916,0,3854478,28172,696,35069,559,32796350,291500,112508994
39,Romania,3267370,67016,0,3180124,20230,123,171684,3521,25094131,1318569,19031335
40,Denmark,3110831,7065,0,3093396,10370,270,533138,1211,128397719,22004939,5834950
41,Sweden,2588441,20194,0,2548125,20122,13,253298,1976,18965590,1855920,10218971
42,Iraq,2459982,25355,0,2433704,923,21,58342,601,19239264,456286,42164965
43,Serbia,2359530,17000,0,2298536,43994,33,272683,1965,11030499,1274758,8653016
44,Hungary,2094142,47503,0,2014175,32464,18,217998,4945,11394556,1186160,9606259
45,Bangladesh,2024489,29362,0,1964501,30626,1331,12059,175,14872260,88586,167885689
46,Singapore,1904192,1617,0,1821160,81415,9,320380,272,24345019,4096043,5943546
47,Slovakia,1843220,20455,0,1817938,4827,22,337574,3746,7298163,1336613,5460193
48,Georgia,1780691,16900,0,1637293,126498,270,448679,4258,16920079,4263340,3968738
49,New Zealand,1779476,2959,0,1767660,8857,270,363292,604,7544063,1540170,4898203
50,Hong Kong,1761381,10153,0,1469240,281988,8,231630,1335,54352132,7147553,7604299
51,Jordan,1746997,14122,0,1731007,1868,59,169597,1371,17201885,1669945,10300869
52,Ireland,1663653,7905,0,1648405,7343,13,331392,1575,12708583,2531490,5020199
53,Pakistan,1572598,30616,3,1536924,5058,47,6853,133,30477451,132806,229488994
54,Norway,1462318,4098,0,1457108,1112,20,265327,744,11002430,1996315,5511370
55,Kazakhstan,1393468,13690,0,1378440,1338,24,72557,713,11575012,602707,19205043
56,Finland,1292940,5981,0,1263711,23248,21,232754,1077,11505032,2071128,5554960
57,Morocco,1264935,16278,0,1248543,114,293,33488,431,12577650,332982,37772756
58,Bulgaria,1258670,37714,0,1211397,9559,43,183892,5510,10559171,1542702,6844597
59,Lithuania,1249134,9320,0,1216151,23663,12,469298,3502,10174473,3822535,2661708
60,Croatia,1231575,16902,0,1209524,5149,10,303397,4164,5225875,1287388,4059286
61,Lebanon,1215511,10674,0,1087587,117250,74,181831,1597,4795578,717380,6684849
62,Slovenia,1181073,6820,0,1145051,29202,22,568361,3282,2743244,1320115,2078034
63,Tunisia,1145686,29249,0,2807254,57448,99,95104,2428,4948208,410754,12046656
64,Guatemala,1123465,19789,0,1102988,688,5,60453,1065,5884813,316660,18584039
65,Cuba,1111179,8530,0,1102548,101,23,98285,754,14149157,1251512,11305652
66,Bolivia,1108195,22234,0,1051789,34172,220,92406,1854,2705422,225590,11992656
67,Costa Rica,1072807,8913,0,860711,203183,52,207012,1720,4659757,899158,5182354
68,UAE,1027031,2345,0,1006369,18317,270,101870,233,190586733,18904066,10081785
69,Ecuador,1003778,35894,0,964320,3564,759,55416,1982,3082403,170173,18113361
70,Nepal,999712,12018,0,986617,1077,270,33075,398,5936702,196413,30225582
71,Belarus,994037,7118,0,985592,1327,270,105381,755,13646641,1446722,9432800
72,Panama,986866,8497,0,976873,1496,16,221919,1911,7062027,1588056,4446964
73,Uruguay,985422,7485,0,976760,1177,18,281870,2141,6114822,1749083,3496016
74,Mongolia,982864,2179,0,979439,1246,192,290954,645,4030048,1193000,3378078
75,Latvia,929051,5990,0,891237,31824,5,502506,3240,7650009,4137741,1848837
76,Azerbaijan,821162,9910,0,810181,1071,270,79723,962,7245111,703395,10300205
77,Saudi Arabia,816389,9351,0,803546,3492,32,22776,261,44321147,1236470,35844909
